INTERVAL_ID,SERVICE,PROBABILITY
00,VOD,0.004
00,WatchTV,0.6
01,VOD,0.004
01,WatchTV,0.6
02,VOD,0.004
02,WatchTV,0.6
03,VOD,0.004
03,WatchTV,0.6
04,VOD,0.004
04,WatchTV,0.6
05,VOD,0.004
05,WatchTV,0.6
06,VOD,0.004
06,WatchTV,0.6
07,VOD,0.004
07,WatchTV,0.6
08,VOD,0.004
08,WatchTV,0.6
09,VOD,0.004
09,WatchTV,0.6
10,VOD,0.4
10,WatchTV,0.6
11,VOD,0.004
11,WatchTV,0.6
12,VOD,0.004
12,WatchTV,0.6
13,VOD,0.004
13,WatchTV,0.6
14,VOD,0.4
14,WatchTV,0.6
15,VOD,0.004
15,WatchTV,0.6
16,VOD,0.004
16,WatchTV,0.6
17,VOD,0.004
17,WatchTV,0.6
18,VOD,0.004
18,WatchTV,0.6
19,VOD,0.004
19,WatchTV,0.9
20,VOD,0.004
20,WatchTV,0.9
21,VOD,0.004
21,WatchTV,0.9
22,VOD,0.004
22,WatchTV,0.9
23,VOD,0.004
23,WatchTV,0.6